id,company_name,industry,sub_industry,country,city,revenue_band,team_size,business_intent,products_services,MOQ,export_ready,profile_completeness,verified
190,"Meyer, Cunningham and Moore",Retail,Fashion,USA,Lake Angela,<1 Cr,1-10,Partnership,cultivate compelling applications,100,Yes,89,Yes
191,White-Nelson,Technology,Cybersecurity,UK,North Nicole,10-50 Cr,11-50,Export,integrate 24/365 e-business,100,Yes,68,No
192,"Gonzalez, Skinner and Garcia",Healthcare,Medical Devices,UK,North Laurenfort,50+ Cr,11-50,Export,benchmark world-class ROI,500,No,77,No
193,"Armstrong, Spencer and Bernard",FMCG,Personal Care,India,Cortezborough,10-50 Cr,51-200,Seeking Supplier,transform 24/7 users,500,Yes,54,No
194,Petersen-Castillo,Retail,E-commerce,UAE,Port Jessicaside,50+ Cr,51-200,Seeking Buyer,engineer ubiquitous eyeballs,500,No,86,Yes
195,Martinez PLC,Manufacturing,Electronics,China,North Deborahfort,1-10 Cr,1-10,Seeking Buyer,enhance one-to-one communities,100,Yes,88,No
196,"Johnson, Little and Dodson",Technology,SaaS,UAE,Lake Frankfurt,50+ Cr,11-50,Seeking Supplier,orchestrate distributed models,500,No,64,No
197,"Stephens, Reed and Johnson",Manufacturing,Automotive,USA,Robertsborough,<1 Cr,1-10,Seeking Supplier,exploit one-to-one synergies,100,No,76,No
198,"Williams, Norman and Robinson",Retail,Fashion,Germany,East Kathleen,10-50 Cr,11-50,Investment,evolve innovative partnerships,1000,No,93,No
199,Taylor PLC,Healthcare,Medical Devices,Germany,West Christine,<1 Cr,1-10,Export,scale back-end models,500,Yes,64,Yes
200,Burns Ltd,Manufacturing,Automotive,China,Cohenfurt,<1 Cr,11-50,Seeking Supplier,integrate bleeding-edge communities,100,No,94,Yes
